,NUMERO FAKE FAMILIA,ANO NASCIMENTO,BAIRRO,BENEFICIO CONCEDIDO,DATA CONCESSÃO,SERVIÇO,LOCAL DE EXECUÇÃO,DIA CONCESSÃO,MES CONCESSÃO,ANO CONCESSÃO
11,123896125,1986,SENHOR DOS PASSOS,AVISE 1X300,20/12/2019,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS VILA SENHOR DOS PASSOS,20,12,2019
12,124300057,1970,LAGOA,AVISE 1X300,20/12/2019,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS LAGOA,20,12,2019
13,124505770,1970,BAIRRO MADRE GERTRUDES,AVISE 1X300,20/12/2019,EQUIPE DE PROTEÇÃO SOCIAL BÁSICA REGIONAL,GERASOC-O,20,12,2019
14,124462798,1967,VENTOSA PRIMEIRA SECAO,AVISE 1X300,26/12/2019,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS HAVAÍ/VENTOSA,26,12,2019
15,124650405,1974,VENTOSA PRIMEIRA SECAO,AVISE 1X300,27/12/2019,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS HAVAÍ/VENTOSA,27,12,2019
16,124540368,1981,MANTIQUEIRA,AVISE 1X300,27/12/2019,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS MANTIQUEIRA,27,12,2019
17,124260320,1969,NOVA GAMELEIRA,AVISE 1X300,02/01/2020,EQUIPE DE PROTEÇÃO SOCIAL BÁSICA REGIONAL,GERASOC-O,02,01,2020
18,124460249,1990,VILA ECOLOGICA,AVISE 1X300,07/01/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS PETRÓPOLIS,07,01,2020
19,123746729,1956,GLORIA,AVISE 1X300,07/01/2020,EQUIPE DE PROTEÇÃO SOCIAL BÁSICA REGIONAL,GERASOC-NO,07,01,2020
20,124348136,1984,VILA NOVA CACHOEIRINHA PRIMEIRA SECAO,AVISE 1X300,08/01/2020,EQUIPE DE PROTEÇÃO SOCIAL BÁSICA REGIONAL,GERASOC-NO,08,01,2020
21,123837048,1982,HAVAI,AVISE 1X300,08/01/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS HAVAÍ/VENTOSA,08,01,2020
22,124540814,1984,PARAISO,AVISE 1X300,09/01/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS PEDREIRA PRADO LOPES,09,01,2020
23,124324889,1995,VILA VISTA ALEGRE,AVISE 1X300,10/01/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS VISTA ALEGRE I,10,01,2020
24,124332694,1985,CARLOS PRATES,AVISE 1X300,13/01/2020,EQUIPE DE PROTEÇÃO SOCIAL BÁSICA REGIONAL,GERASOC-NO,13,01,2020
25,124540460,1946,JARDIM LEBLON,AVISE 1X300,15/01/2020,EQUIPE DE PROTEÇÃO SOCIAL BÁSICA REGIONAL,GERASOC-VN,15,01,2020
26,124315685,1984,ALTO VERA CRUZ,AVISE 1X300,17/01/2020,EQUIPE DE PROTEÇÃO SOCIAL BÁSICA REGIONAL,GERASOC-L,17,01,2020
27,124466831,1991,ARAGUAIA,AVISE 1X300,20/01/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS VILA CEMIG,20,01,2020
28,124427054,1984,VALE DO JATOBA,AVISE 1X300,20/01/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS TAQUARIL,20,01,2020
29,123460732,1977,VILA ANTENA MONTANHEZ,AVISE 1X300,21/01/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS VILA SÃO JOSÉ,21,01,2020
30,124376339,1974,RIBEIRO DE ABREU,AVISE 1X300,27/01/2020,EQUIPE DE PROTEÇÃO SOCIAL BÁSICA REGIONAL,GERASOC-NE,27,01,2020
31,124352151,1953,VISTA ALEGRE,AVISE 1X300,28/01/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS VISTA ALEGRE I,28,01,2020
32,124686573,1965,FLORAMAR,AVISE 1X300,28/01/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS NOVO AARÃO REIS,28,01,2020
33,123675387,1964,APOLONIA,AVISE 1X300,28/01/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS APOLÔNIA,28,01,2020
34,124541642,1983,TUPI A,AVISE 1X300,29/01/2020,EQUIPE DE PROTEÇÃO SOCIAL BÁSICA REGIONAL,GERASOC-N,29,01,2020
35,124344556,1993,CAICARAS,AVISE 1X300,29/01/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO ESPECIALIZADO A FAMÍLIAS E INDIVÍDUOS - PAEFI,CREAS NOROESTE,29,01,2020
36,123732360,1953,JARDIM ALVORADA,AVISE 1X300,30/01/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS VILA SÃO JOSÉ,30,01,2020
37,124686908,1980,JARDIM VITORIA,AVISE 1X300,30/01/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS VILA MARIA,30,01,2020
38,124687345,1990,RIBEIRO DE ABREU,AVISE 1X300,31/01/2020,EQUIPE DE PROTEÇÃO SOCIAL BÁSICA REGIONAL,GERASOC-NE,31,01,2020
39,123463446,1965,PAULO VI,AVISE 1X300,31/01/2020,EQUIPE DE PROTEÇÃO SOCIAL BÁSICA REGIONAL,GERASOC-NE,31,01,2020
40,124316047,1978,APOLONIA,AVISE 1X300,03/02/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS APOLÔNIA,03,02,2020
41,124687410,1989,NOVO TUPI,AVISE 1X300,03/02/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS NOVO AARÃO REIS,03,02,2020
42,124651491,1978,PEDREIRA PRADO LOPES,AVISE 1X300,04/02/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS PEDREIRA PRADO LOPES,04,02,2020
43,123473070,1953,PINDORAMA,AVISE 1X300,04/02/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS COQUEIRAL,04,02,2020
44,124426206,1984,VILA VISTA ALEGRE,AVISE 1X300,05/02/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS VISTA ALEGRE I,05,02,2020
45,124687069,1987,MORRO DAS PEDRAS,AVISE 1X300,06/02/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS SUMARÉ,06,02,2020
46,123979334,1979,SAO BENEDITO,AVISE 1X300,10/02/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO ESPECIALIZADO A FAMÍLIAS E INDIVÍDUOS - PAEFI,CREAS NORDESTE,10,02,2020
47,124324889,1995,VILA VISTA ALEGRE,AVISE 1X300 RENOVADO,11/02/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS VISTA ALEGRE I,11,02,2020
48,124300649,1992,RIBEIRO DE ABREU,AVISE 1X300 RENOVADO,11/02/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO ESPECIALIZADO A FAMÍLIAS E INDIVÍDUOS - PAEFI,CREAS NORTE,11,02,2020
49,123650623,1967,LAGOA,AVISE 1X300,12/02/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS LAGOA,12,02,2020
50,123823066,1954,VILA VISTA ALEGRE,AVISE 1X300,13/02/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS VISTA ALEGRE I,13,02,2020
51,124650946,1981,SAO GERALDO,AVISE 1X300,20/02/2020,EQUIPE DE PROTEÇÃO SOCIAL BÁSICA REGIONAL,GERASOC-L,20,02,2020
52,126092896,1990,SAO JORGE TERCEIRA SECAO,AVISE 1X300,20/02/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO ESPECIALIZADO A FAMÍLIAS E INDIVÍDUOS - PAEFI,CREAS OESTE,20,02,2020
53,124721949,1998,SANTO ANDRE,AVISE 1X300,27/02/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS VILA SENHOR DOS PASSOS,27,02,2020
54,124651371,1964,JARDIM ALVORADA,AVISE 1X300,27/02/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS VILA SÃO JOSÉ,27,02,2020
55,124687472,1981,VILA CEMIG,AVISE 1X300,02/03/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS VILA CEMIG,02,03,2020
56,127196929,1976,LAJEDO,AVISE 1X300,02/03/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS NOVO AARÃO REIS,02,03,2020
57,123885844,1961,PAULO VI,AVISE 1X300,04/03/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS CONJUNTO PAULO VI,04,03,2020
58,123721732,1987,VILA PRIMEIRO DE MAIO,AVISE 1X300,04/03/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO ESPECIALIZADO A FAMÍLIAS E INDIVÍDUOS - PAEFI,CREAS NORTE,04,03,2020
59,124276445,1978,UNIAO,AVISE 1X300 RENOVADO,05/03/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO ESPECIALIZADO A FAMÍLIAS E INDIVÍDUOS - PAEFI,CREAS NORDESTE,05,03,2020
60,124427981,1987,APOLONIA,AVISE 1X300,05/03/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS APOLÔNIA,05,03,2020
61,124401286,1968,LAJEDO,AVISE 1X300,06/03/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO ESPECIALIZADO A FAMÍLIAS E INDIVÍDUOS - PAEFI,CREAS NORTE,06,03,2020
62,123654794,1959,CALIFORNIA,AVISE 1X300,09/03/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS CONJUNTO CALIFÓRNIA,09,03,2020
63,123643091,1972,CONJUNTO CALIFORNIA,AVISE 1X300,10/03/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS CONJUNTO CALIFÓRNIA,10,03,2020
64,123837048,1982,HAVAI,AVISE 1X300 RENOVADO,10/03/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS HAVAÍ/VENTOSA,10,03,2020
65,124461113,1986,VILA VISTA ALEGRE,AVISE 1X300,16/03/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS VISTA ALEGRE I,16,03,2020
66,124344556,1993,CAICARAS,AVISE 1X300 RENOVADO,17/03/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO ESPECIALIZADO A FAMÍLIAS E INDIVÍDUOS - PAEFI,CREAS NOROESTE,17,03,2020
67,124077882,1982,CONJUNTO PAULO VI,AVISE 1X300,18/03/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS CONJUNTO PAULO VI,18,03,2020
68,123618625,1992,SENHOR DOS PASSOS,AVISE 1X300,18/03/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS VILA SENHOR DOS PASSOS,18,03,2020
69,124756906,1980,JULIANA,AVISE 1X300,18/03/2020,EQUIPE DE PROTEÇÃO SOCIAL BÁSICA REGIONAL,GERASOC-N,18,03,2020
70,124298685,1960,LAGOA,AVISE 1X300,18/03/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS LAGOA,18,03,2020
71,123804240,1959,SANTO ANDRE,AVISE 1X300,18/03/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS VILA SENHOR DOS PASSOS,18,03,2020
72,124462820,1975,OESTE,AVISE 1X300,18/03/2020,EQUIPE DE PROTEÇÃO SOCIAL BÁSICA REGIONAL,GERASOC-O,18,03,2020
73,124756928,1993,LAGOA,AVISE 1X300,18/03/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS LAGOA,18,03,2020
74,124172094,1983,CONJUNTO PAULO VI,AVISE 1X300,18/03/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS CONJUNTO PAULO VI,18,03,2020
75,124315685,1984,ALTO VERA CRUZ,AVISE 1X300 RENOVADO,19/03/2020,EQUIPE DE PROTEÇÃO SOCIAL BÁSICA REGIONAL,GERASOC-L,19,03,2020
76,124470875,1963,CEU AZUL,AVISE 1X300,27/03/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS LAGOA,27,03,2020
77,124045050,1998,ALTO VERA CRUZ,AVISE 1X300,27/03/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS TAQUARIL,27,03,2020
78,125100049,1992,JARDIM MONTANHES,AVISE 1X300,03/04/2020,EQUIPE DE PROTEÇÃO SOCIAL BÁSICA REGIONAL,GERASOC-NO,03,04,2020
79,124650946,1981,SAO GERALDO,AVISE 1X300 RENOVADO,06/04/2020,EQUIPE DE PROTEÇÃO SOCIAL BÁSICA REGIONAL,GERASOC-L,06,04,2020
80,123823066,1954,VILA VISTA ALEGRE,AVISE 1X300 RENOVADO,07/04/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS VISTA ALEGRE I,07,04,2020
81,124322516,1979,VILA CLORIS,AVISE 1X300,10/04/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO ESPECIALIZADO A FAMÍLIAS E INDIVÍDUOS - PAEFI,CREAS NORTE,10,04,2020
82,123473070,1953,PINDORAMA,AVISE 1X300 RENOVADO,22/04/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS COQUEIRAL,22,04,2020
83,124138423,1976,,AVISE 1X300,23/04/2020,EQUIPE DE PROTEÇÃO SOCIAL BÁSICA REGIONAL,GERASOC-L,23,04,2020
84,124335710,1989,SERRA,AVISE 1X300,23/04/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO ESPECIALIZADO A FAMÍLIAS E INDIVÍDUOS - PAEFI,CREAS CENTRO SUL,23,04,2020
85,123618625,1992,SENHOR DOS PASSOS,AVISE 1X300 RENOVADO,27/04/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS VILA SENHOR DOS PASSOS,27,04,2020
86,123804240,1959,SANTO ANDRE,AVISE 1X300 RENOVADO,27/04/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS VILA SENHOR DOS PASSOS,27,04,2020
87,124651371,1964,JARDIM ALVORADA,AVISE 1X300 RENOVADO,28/04/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS VILA SÃO JOSÉ,28,04,2020
88,123654794,1959,CALIFORNIA,AVISE 1X300 RENOVADO,28/04/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS CONJUNTO CALIFÓRNIA,28,04,2020
89,124428222,1985,PAULO VI,AVISE 1X300,07/05/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO ESPECIALIZADO A FAMÍLIAS E INDIVÍDUOS - PAEFI,CREAS NORDESTE,07,05,2020
90,123837024,1980,VENTOSA PRIMEIRA SECAO,AVISE 1X300,28/05/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS HAVAÍ/VENTOSA,28,05,2020
91,124293486,1963,SAO JORGE TERCEIRA SECAO,AVISE 1X300,29/05/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS GRACA SABOIA/MORRO DAS PEDRAS,29,05,2020
92,124540938,1987,SAO JORGE SEGUNDA SECAO,AVISE 1X300,05/06/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS GRACA SABOIA/MORRO DAS PEDRAS,05,06,2020
93,123504297,1966,BONFIM,AVISE 1X300,09/06/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS VILA SENHOR DOS PASSOS,09,06,2020
94,124888424,1983,HAVAI,AVISE 1X300,09/06/2020,EQUIPE DE PROTEÇÃO SOCIAL BÁSICA REGIONAL,GERASOC-O,09,06,2020
95,123492192,1982,BAIRRO MADRE GERTRUDES,AVISE 1X300,10/06/2020,EQUIPE DE PROTEÇÃO SOCIAL BÁSICA REGIONAL,GERASOC-O,10,06,2020
96,124462820,1975,OESTE,AVISE 1X300 RENOVADO,15/06/2020,EQUIPE DE PROTEÇÃO SOCIAL BÁSICA REGIONAL,GERASOC-O,15,06,2020
97,123865200,1995,SAO JORGE TERCEIRA SECAO,AVISE 1X300,16/06/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS GRACA SABOIA/MORRO DAS PEDRAS,16,06,2020
98,124506207,1981,BARAO HOMEM DE MELO PRIMEIRA SECAO,AVISE 1X300,19/06/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS GRACA SABOIA/MORRO DAS PEDRAS,19,06,2020
99,124686102,1966,TUPI B,AVISE 1X300,24/06/2020,EQUIPE DE PROTEÇÃO SOCIAL BÁSICA REGIONAL,GERASOC-N,24,06,2020
100,124320222,1979,MARIA GORETTI,AVISE 1X300,29/06/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO ESPECIALIZADO A FAMÍLIAS E INDIVÍDUOS - PAEFI,CREAS NORDESTE,29,06,2020
101,124457947,1964,VISTA ALEGRE,AVISE 1X300,29/06/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS VISTA ALEGRE I,29,06,2020
102,124307315,1994,CONJUNTO TAQUARIL,AVISE 1X300,09/07/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS TAQUARIL,09,07,2020
103,124540938,1987,SAO JORGE SEGUNDA SECAO,AVISE 1X300 RENOVADO,13/07/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS GRACA SABOIA/MORRO DAS PEDRAS,13,07,2020
104,123908622,1976,JARDIM AMERICA,AVISE 1X300,13/07/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS HAVAÍ/VENTOSA,13,07,2020
105,124293486,1963,SAO JORGE TERCEIRA SECAO,AVISE 1X300 RENOVADO,15/07/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS GRACA SABOIA/MORRO DAS PEDRAS,15,07,2020
106,124687557,1980,LAGOINHA,AVISE 1X300,15/07/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS VILA SENHOR DOS PASSOS,15,07,2020
107,123865200,1995,SAO JORGE TERCEIRA SECAO,AVISE 1X300 RENOVADO,16/07/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS GRACA SABOIA/MORRO DAS PEDRAS,16,07,2020
108,124889037,1957,SAO MARCOS,AVISE 1X300,17/07/2020,EQUIPE DE PROTEÇÃO SOCIAL BÁSICA REGIONAL,GERASOC-NE,17,07,2020
109,124283184,1989,SANTA RITA DE CASSIA,AVISE 1X300,17/07/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS SANTA RITA DE CÁSSIA,17,07,2020
110,124200268,1979,NOVA CINTRA,AVISE 1X300,20/07/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS VISTA ALEGRE I,20,07,2020
111,124506207,1981,BARAO HOMEM DE MELO PRIMEIRA SECAO,AVISE 1X300 RENOVADO,20/07/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS GRACA SABOIA/MORRO DAS PEDRAS,20,07,2020
112,124406773,1987,OCUPAÇÃO ROSA LEÃO,AVISE 1X300,23/07/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS ZILAH SPÓSITO,23,07,2020
113,124929460,1987,NOVA CINTRA,AVISE 1X300,27/07/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS VISTA ALEGRE I,27,07,2020
114,124930087,1981,JARDIM LEBLON,AVISE 1X300,28/07/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS APOLÔNIA,28,07,2020
115,123589051,1988,JULIANA,AVISE 1X300,30/07/2020,EQUIPE DE PROTEÇÃO SOCIAL BÁSICA REGIONAL,GERASOC-N,30,07,2020
116,124462231,1984,HAVAI,AVISE 1X300,31/07/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS HAVAÍ/VENTOSA,31,07,2020
117,124149223,1967,COLEGIO BATISTA,AVISE 1X300,03/08/2020,EQUIPE DE PROTEÇÃO SOCIAL BÁSICA REGIONAL,GERASOC-L,03,08,2020
118,124686684,1994,NOVO AARAO REIS,AVISE 1X300,04/08/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS NOVO AARÃO REIS,04,08,2020
119,124320222,1979,MARIA GORETTI,AVISE 1X300 RENOVADO,06/08/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO ESPECIALIZADO A FAMÍLIAS E INDIVÍDUOS - PAEFI,CREAS NORDESTE,06,08,2020
120,123851824,1967,BARRO PRETO,AVISE 1X300,06/08/2020,EQUIPE DE PROTEÇÃO SOCIAL BÁSICA REGIONAL,GERASOC-CS,06,08,2020
121,124427752,1980,SAUDADE,AVISE 1X300,10/08/2020,EQUIPE DE PROTEÇÃO SOCIAL BÁSICA REGIONAL,GERASOC-L,10,08,2020
122,124970695,1991,COQUEIROS,AVISE 1X300,10/08/2020,EQUIPE DE PROTEÇÃO SOCIAL BÁSICA REGIONAL,GERASOC-NO,10,08,2020
123,124035082,1999,SAUDADE,AVISE 1X300,10/08/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO ESPECIALIZADO A FAMÍLIAS E INDIVÍDUOS - PAEFI,CREAS LESTE,10,08,2020
124,123908696,1981,LEBLON,AVISE 1X300,11/08/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS APOLÔNIA,11,08,2020
125,124930208,1960,CENTRO,AVISE 1X300,11/08/2020,EQUIPE DE PROTEÇÃO SOCIAL BÁSICA REGIONAL,GERASOC-CS,11,08,2020
126,124929498,1972,SAO TOMAZ,AVISE 1X300,11/08/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS VILA BIQUINHAS,11,08,2020
127,123676692,1992,NOVO TUPI,AVISE 1X300,11/08/2020,SERVIÇO DE PROTEÇÃO E ATENDIMENTO INTEGRAL À FAMÍLIA - PAIF,CRAS NOVO AARÃO REIS,11,08,2020
